x y tempo temperatura
0.700000 0.700000 0.000000 105.090584
0.700000 0.700000 0.005025 103.471054
0.700000 0.700000 0.010050 101.457298
0.700000 0.700000 0.015075 99.072083
0.700000 0.700000 0.020101 96.368439
0.700000 0.700000 0.025126 93.426300
0.700000 0.700000 0.030151 90.343765
0.700000 0.700000 0.035176 87.224747
0.700000 0.700000 0.040201 84.166443
0.700000 0.700000 0.045226 81.249222
0.700000 0.700000 0.050251 78.532036
0.700000 0.700000 0.055276 76.051094
0.700000 0.700000 0.060302 73.822624
0.700000 0.700000 0.065327 71.846909
0.700000 0.700000 0.070352 70.112778
0.700000 0.700000 0.075377 68.601768
0.700000 0.700000 0.080402 67.291588
0.700000 0.700000 0.085427 66.158936
0.700000 0.700000 0.090452 65.181160
0.700000 0.700000 0.095477 64.337479
0.700000 0.700000 0.100503 63.609421
0.700000 0.700000 0.105528 62.981079
0.700000 0.700000 0.110553 62.438889
0.700000 0.700000 0.115578 61.971336
0.700000 0.700000 0.120603 61.568707
0.700000 0.700000 0.125628 61.222778
0.700000 0.700000 0.130653 60.926399
0.700000 0.700000 0.135678 60.673416
0.700000 0.700000 0.140704 60.458374
0.700000 0.700000 0.145729 60.276402
0.700000 0.700000 0.150754 60.123177
0.700000 0.700000 0.155779 59.994812
0.700000 0.700000 0.160804 59.887737
0.700000 0.700000 0.165829 59.798836
0.700000 0.700000 0.170854 59.725250
0.700000 0.700000 0.175879 59.664463
0.700000 0.700000 0.180905 59.614300
0.700000 0.700000 0.185930 59.572865
0.700000 0.700000 0.190955 59.538513
0.700000 0.700000 0.195980 59.509911
0.700000 0.700000 0.201005 59.485859
0.700000 0.700000 0.206030 59.465427
0.700000 0.700000 0.211055 59.447842
0.700000 0.700000 0.216080 59.432510
0.700000 0.700000 0.221106 59.418877
0.700000 0.700000 0.226131 59.406620
0.700000 0.700000 0.231156 59.395416
0.700000 0.700000 0.236181 59.385044
0.700000 0.700000 0.241206 59.375343
0.700000 0.700000 0.246231 59.366219
0.700000 0.700000 0.251256 59.357548
0.700000 0.700000 0.256281 59.349312
0.700000 0.700000 0.261307 59.341438
0.700000 0.700000 0.266332 59.333920
0.700000 0.700000 0.271357 59.326756
0.700000 0.700000 0.276382 59.319923
0.700000 0.700000 0.281407 59.313423
0.700000 0.700000 0.286432 59.307243
0.700000 0.700000 0.291457 59.301407
0.700000 0.700000 0.296482 59.295906
0.700000 0.700000 0.301508 59.290756
0.700000 0.700000 0.306533 59.285908
0.700000 0.700000 0.311558 59.281391
0.700000 0.700000 0.316583 59.277199
0.700000 0.700000 0.321608 59.273331
0.700000 0.700000 0.326633 59.269760
0.700000 0.700000 0.331658 59.266491
0.700000 0.700000 0.336683 59.263504
0.700000 0.700000 0.341709 59.260803
0.700000 0.700000 0.346734 59.258354
0.700000 0.700000 0.351759 59.256153
0.700000 0.700000 0.356784 59.254173
0.700000 0.700000 0.361809 59.252441
0.700000 0.700000 0.366834 59.250870
0.700000 0.700000 0.371859 59.249519
0.700000 0.700000 0.376884 59.248341
0.700000 0.700000 0.381910 59.247307
0.700000 0.700000 0.386935 59.246403
0.700000 0.700000 0.391960 59.245640
0.700000 0.700000 0.396985 59.244980
0.700000 0.700000 0.402010 59.244431
0.700000 0.700000 0.407035 59.243935
0.700000 0.700000 0.412060 59.243511
0.700000 0.700000 0.417085 59.243156
0.700000 0.700000 0.422111 59.242832
0.700000 0.700000 0.427136 59.242535
0.700000 0.700000 0.432161 59.242260
0.700000 0.700000 0.437186 59.241985
0.700000 0.700000 0.442211 59.241714
0.700000 0.700000 0.447236 59.241421
0.700000 0.700000 0.452261 59.241085
0.700000 0.700000 0.457286 59.240723
0.700000 0.700000 0.462312 59.240288
0.700000 0.700000 0.467337 59.239830
0.700000 0.700000 0.472362 59.239311
0.700000 0.700000 0.477387 59.238701
0.700000 0.700000 0.482412 59.238010
0.700000 0.700000 0.487437 59.237244
0.700000 0.700000 0.492462 59.236382
0.700000 0.700000 0.497487 59.235420
0.700000 0.700000 0.502513 59.234364
0.700000 0.700000 0.507538 59.233170
0.700000 0.700000 0.512563 59.231876
0.700000 0.700000 0.517588 59.230484
0.700000 0.700000 0.522613 59.228928
0.700000 0.700000 0.527638 59.227276
0.700000 0.700000 0.532663 59.225483
0.700000 0.700000 0.537688 59.223537
0.700000 0.700000 0.542714 59.221466
0.700000 0.700000 0.547739 59.219261
0.700000 0.700000 0.552764 59.216900
0.700000 0.700000 0.557789 59.214394
0.700000 0.700000 0.562814 59.211750
0.700000 0.700000 0.567839 59.208942
0.700000 0.700000 0.572864 59.205986
0.700000 0.700000 0.577889 59.202896
0.700000 0.700000 0.582915 59.199631
0.700000 0.700000 0.587940 59.196228
0.700000 0.700000 0.592965 59.192646
0.700000 0.700000 0.597990 59.188915
0.700000 0.700000 0.603015 59.185020
0.700000 0.700000 0.608040 59.180981
0.700000 0.700000 0.613065 59.176765
0.700000 0.700000 0.618090 59.172409
0.700000 0.700000 0.623116 59.167873
0.700000 0.700000 0.628141 59.163189
0.700000 0.700000 0.633166 59.158337
0.700000 0.700000 0.638191 59.153336
0.700000 0.700000 0.643216 59.148186
0.700000 0.700000 0.648241 59.142857
0.700000 0.700000 0.653266 59.137367
0.700000 0.700000 0.658291 59.131721
0.700000 0.700000 0.663317 59.125938
0.700000 0.700000 0.668342 59.119976
0.700000 0.700000 0.673367 59.113873
0.700000 0.700000 0.678392 59.107597
0.700000 0.700000 0.683417 59.101166
0.700000 0.700000 0.688442 59.094589
0.700000 0.700000 0.693467 59.087837
0.700000 0.700000 0.698492 59.080959
0.700000 0.700000 0.703518 59.073921
0.700000 0.700000 0.708543 59.066711
0.700000 0.700000 0.713568 59.059372
0.700000 0.700000 0.718593 59.051876
0.700000 0.700000 0.723618 59.044224
0.700000 0.700000 0.728643 59.036423
0.700000 0.700000 0.733668 59.028477
0.700000 0.700000 0.738693 59.020386
0.700000 0.700000 0.743719 59.012150
0.700000 0.700000 0.748744 59.003757
0.700000 0.700000 0.753769 58.995224
0.700000 0.700000 0.758794 58.986538
0.700000 0.700000 0.763819 58.977711
0.700000 0.700000 0.768844 58.968746
0.700000 0.700000 0.773869 58.959641
0.700000 0.700000 0.778894 58.950382
0.700000 0.700000 0.783920 58.940979
0.700000 0.700000 0.788945 58.931446
0.700000 0.700000 0.793970 58.921772
0.700000 0.700000 0.798995 58.911942
0.700000 0.700000 0.804020 58.901978
0.700000 0.700000 0.809045 58.891869
0.700000 0.700000 0.814070 58.881622
0.700000 0.700000 0.819095 58.871246
0.700000 0.700000 0.824121 58.860733
0.700000 0.700000 0.829146 58.850056
0.700000 0.700000 0.834171 58.839256
0.700000 0.700000 0.839196 58.828300
0.700000 0.700000 0.844221 58.817215
0.700000 0.700000 0.849246 58.805996
0.700000 0.700000 0.854271 58.794636
0.700000 0.700000 0.859297 58.783131
0.700000 0.700000 0.864322 58.771492
0.700000 0.700000 0.869347 58.759708
0.700000 0.700000 0.874372 58.747791
0.700000 0.700000 0.879397 58.735733
0.700000 0.700000 0.884422 58.723515
0.700000 0.700000 0.889447 58.711159
0.700000 0.700000 0.894472 58.698692
0.700000 0.700000 0.899498 58.686066
0.700000 0.700000 0.904523 58.673279
0.700000 0.700000 0.909548 58.660362
0.700000 0.700000 0.914573 58.647293
0.700000 0.700000 0.919598 58.634090
0.700000 0.700000 0.924623 58.620739
0.700000 0.700000 0.929648 58.607231
0.700000 0.700000 0.934673 58.593582
0.700000 0.700000 0.939699 58.579784
0.700000 0.700000 0.944724 58.565826
0.700000 0.700000 0.949749 58.551727
0.700000 0.700000 0.954774 58.537476
0.700000 0.700000 0.959799 58.523064
0.700000 0.700000 0.964824 58.508522
0.700000 0.700000 0.969849 58.493793
0.700000 0.700000 0.974874 58.478916
0.700000 0.700000 0.979900 58.463890
0.700000 0.700000 0.984925 58.448666
0.700000 0.700000 0.989950 58.433304
0.700000 0.700000 0.994975 58.417793
0.700000 0.700000 1.000000 58.402092
